web-scraper-order,web-scraper-start-url,Date,Open,Close*,Empresa
1616360218-42,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2021","3,270.00","3,206.20",Amazon
1616360218-49,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2020","2,448.00","2,758.82",Amazon
1616360218-46,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2020","3,489.58","3,148.73",Amazon
1616360218-47,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2020","3,180.51","3,450.96",Amazon
1616360218-45,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2020","3,208.00","3,036.15",Amazon
1616360218-50,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2020","2,336.80","2,442.37",Amazon
1616360218-48,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2020","2,757.99","3,164.68",Amazon
1616360218-44,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2020","3,061.74","3,168.04",Amazon
1616360218-52,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2020","1,906.49","1,949.72",Amazon
1616360218-51,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020","1,932.97","2,474.00",Amazon
1616360218-39,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 19, 2021","3,029.23","3,074.96",Amazon
1616360218-53,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2020","2,010.60","1,883.75",Amazon
1616360218-43,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2020","3,188.50","3,256.93",Amazon
1616360218-54,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2020","1,875.00","2,008.72",Amazon
1616360218-41,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2021","3,242.36","3,092.93",Amazon
1616360218-40,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2021","3,127.89","3,074.96",Amazon
1616360091-2,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2021",123.75,119.99,Apple
1616360091-21,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2020",76.07,68.34,Apple
1616360091-19,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2020",70.57,63.57,Apple
1616360091-4,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2021",133.75,121.26,Apple
1616360091-18,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020",61.63,73.45,Apple
1616360091-15,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2020",79.44,91.2,Apple
1616360091-5,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2021",133.52,131.96,Apple
1616360091-1,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 19, 2021",119.9,119.99,Apple
1616360091-10,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2020",132.76,115.81,Apple
1616360091-13,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2020",108.2,129.04,Apple
1616360091-9,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2020",117.64,108.86,Apple
1616360091-14,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2020",91.28,106.26,Apple
1616360091-22,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2020",74.06,77.38,Apple
1616360091-17,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2020",71.56,79.49,Apple
1616360091-6,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2020",121.01,132.69,Apple
1616360091-8,https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2020",109.11,119.05,Apple
1616360622-29,https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020",161.62,204.71,Facebook
1616360622-32,https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2020",206.75,201.91,Facebook
1616360622-25,https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2020",252.65,293.2,Facebook
