web-scraper-order,web-scraper-start-url,Date,Open,Close*,Empresa
1615855188-1400,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 14, 2020","2,155.68","2,134.87",Amazon
1615855188-1209,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 16, 2020","3,093.20","3,131.06",Amazon
1615855188-1216,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 05, 2020","3,319.97","3,322.00",Amazon
1615855188-1132,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 10, 2021","3,098.45","3,057.64",Amazon
1615855188-1258,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 08, 2020","3,144.00","3,149.84",Amazon
1615855188-1253,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 15, 2020","3,136.16","3,156.13",Amazon
1615855188-1366,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Apr 03, 2020","1,911.15","1,906.59",Amazon
1615855188-1415,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 24, 2020","1,891.37","1,861.64",Amazon
1615855188-1247,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 23, 2020","3,120.43","2,999.86",Amazon
1615855188-1143,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 23, 2021","3,127.03","3,194.50",Amazon
1615855188-1208,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 17, 2020","3,183.54","3,135.66",Amazon
1615855188-1183,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Dec 23, 2020","3,205.00","3,185.27",Amazon
1615855188-1372,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 26, 2020","1,902.00","1,955.49",Amazon
1615855188-1378,https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 18, 2020","1,750.00","1,830.00",Amazon
