web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close*,Adj Close**,Volume,Empresa
1615775549-3631,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 01, 2021","1,853.57","1,922.39","1,850.93","1,901.35","1,901.35","1,602,200",Google
1615775549-3637,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jan 22, 2021","1,895.68","1,910.95","1,881.76","1,901.05","1,901.05","1,272,100",Google
1615775549-3762,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 24, 2020","1,498.93","1,517.64","1,488.40","1,511.87","1,511.87","1,544,000",Google
1615775549-3623,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 11, 2021","2,099.51","2,102.03","2,077.32","2,095.89","2,095.89","945,200",Google
1615775549-3761,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 27, 2020","1,515.60","1,540.97","1,515.21","1,530.20","1,530.20","1,246,000",Google
1615775549-3676,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Nov 24, 2020","1,730.50","1,771.60","1,727.69","1,768.88","1,768.88","1,578,000",Google
1615775549-3624,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 10, 2021","2,094.21","2,108.37","2,063.09","2,095.38","2,095.38","1,135,500",Google
1615775549-3764,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 22, 2020","1,560.50","1,570.00","1,546.10","1,568.49","1,568.49","932,000",Google
1615775549-3719,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 24, 2020","1,411.03","1,443.71","1,409.85","1,428.29","1,428.29","1,450,200",Google
1615775549-3821,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 30, 2020","1,324.88","1,352.82","1,322.49","1,348.66","1,348.66","2,668,900",Google
1615775549-3791,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 12, 2020","1,428.49","1,437.00","1,386.02","1,413.18","1,413.18","1,946,400",Google
1615775549-3834,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 13, 2020","1,209.18","1,220.51","1,187.60","1,217.56","1,217.56","1,739,800",Google
1615775549-3745,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Aug 18, 2020","1,526.18","1,562.47","1,523.71","1,558.60","1,558.60","2,027,100",Google
1615775549-3772,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 10, 2020","1,506.15","1,543.83","1,496.54","1,541.74","1,541.74","1,856,300",Google
1615775549-3798,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 03, 2020","1,438.30","1,446.55","1,429.78","1,436.38","1,436.38","1,256,200",Google
1615775549-3626,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 08, 2021","2,105.91","2,123.55","2,072.00","2,092.91","2,092.91","1,241,900",Google
1615775549-3797,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 04, 2020","1,430.40","1,438.96","1,404.73","1,412.18","1,412.18","1,484,300",Google
1615775549-3776,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 06, 2020","1,480.06","1,506.59","1,472.86","1,495.70","1,495.70","1,564,000",Google
1615775549-3835,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 09, 2020","1,224.08","1,225.57","1,196.73","1,211.45","1,211.45","2,175,400",Google
1615775549-3824,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 27, 2020","1,296.00","1,296.15","1,269.00","1,275.88","1,275.88","1,600,600",Google
1615775549-3671,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Dec 02, 2020","1,798.10","1,835.65","1,789.47","1,827.95","1,827.95","1,222,000",Google
1615775549-3829,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 20, 2020","1,271.00","1,281.60","1,261.37","1,266.61","1,266.61","1,695,500",Google
1615775549-3730,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 09, 2020","1,557.53","1,569.00","1,536.05","1,556.96","1,556.96","1,774,700",Google
1615775549-3728,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 11, 2020","1,536.00","1,575.20","1,497.36","1,520.72","1,520.72","1,597,100",Google
1615775549-3854,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Mar 13, 2020","1,179.00","1,219.76","1,117.14","1,219.73","1,219.73","3,700,100",Google
1615775549-3759,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 29, 2020","1,506.32","1,531.25","1,501.33","1,522.02","1,522.02","1,106,500",Google
1615775549-3609,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Mar 04, 2021","2,023.37","2,089.24","2,020.27","2,049.09","2,049.09","2,116,100",Google
1615775549-3843,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Mar 30, 2020","1,125.04","1,151.63","1,096.48","1,146.82","1,146.82","2,574,100",Google
1615775549-3749,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Aug 12, 2020","1,485.58","1,512.39","1,485.25","1,506.62","1,506.62","1,437,000",Google
