web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close*,name
"1620589835-1280","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2016","131.41","131.94","113.55","118.42","Facebook, Inc. (FB)"
"1620589819-859","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2017","142.84","148.29","138.26","147.81","Netflix, Inc. (NFLX)"
"1620589824-950","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","108.20","131.00","107.89","129.04","Apple Inc. (AAPL)"
"1620589830-1215","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2011","217.01","246.71","196.51","213.51","Amazon.com, Inc. (AMZN)"
"1620589819-881","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2015","88.84","100.89","87.94","93.85","Netflix, Inc. (NFLX)"
"1620589819-840","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2018","375.85","386.80","271.21","301.78","Netflix, Inc. (NFLX)"
"1620589819-931","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2011","34.43","36.43","32.06","33.24","Netflix, Inc. (NFLX)"
"1620589830-1205","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2012","234.14","250.00","228.66","248.27","Amazon.com, Inc. (AMZN)"
"1620589824-1016","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2016","24.75","25.47","22.88","23.90","Apple Inc. (AAPL)"
"1620589819-896","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2014","63.03","65.43","49.98","50.29","Netflix, Inc. (NFLX)"
